epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,221.961,1.73199,1.80725,1.69313,0.41762,0.41509,0.37805,0.1557,2.01278,2.09123,2.01739,0.0011486,0.0011486,0.0011486
45,231.276,1.71603,1.85602,1.70857,0.60998,0.32075,0.37008,0.1525,2.05799,2.10534,2.04091,0.0011288,0.0011288,0.0011288
46,236.213,1.60468,1.61531,1.66758,0.49862,0.35849,0.35112,0.13934,2.16268,2.17459,2.12939,0.001109,0.001109,0.001109
47,240.868,1.62792,1.69217,1.64801,0.3383,0.35849,0.29704,0.12112,2.03161,2.14875,2.00209,0.0010892,0.0010892,0.0010892
48,245.875,1.74491,1.98334,1.74856,0.29328,0.41499,0.25906,0.1154,1.9732,2.25917,1.90659,0.0010694,0.0010694,0.0010694
49,250.903,1.62143,1.75015,1.6368,0.30073,0.28302,0.25673,0.10358,1.98921,2.43293,1.94511,0.0010496,0.0010496,0.0010496
50,255.748,1.86954,1.85243,1.84012,0.2572,0.39623,0.26225,0.10739,1.98333,2.50866,1.97441,0.0010298,0.0010298,0.0010298
51,260.604,1.55842,1.65038,1.61534,0.34697,0.39623,0.27044,0.11454,1.98749,2.25348,1.96506,0.00101,0.00101,0.00101
52,265.342,1.56608,1.72992,1.66675,0.43187,0.3443,0.31021,0.14416,1.98511,2.1958,1.93394,0.0009902,0.0009902,0.0009902
53,269.815,1.58102,1.61289,1.64329,0.43661,0.28302,0.28198,0.13709,1.93801,2.048,1.89417,0.0009704,0.0009704,0.0009704
54,274.473,1.57234,1.68586,1.62864,0.55037,0.28302,0.32669,0.15463,1.94812,2.12234,1.84642,0.0009506,0.0009506,0.0009506
55,279.309,1.51569,1.59775,1.63254,0.36212,0.32075,0.27586,0.12067,1.99225,2.2888,1.88688,0.0009308,0.0009308,0.0009308
